station_id,name,lat,lon
3,Powell St BART Station (Market St at 4th St),37.7862,-122.4051
4,Cyril Magnin St at Ellis St,37.7858,-122.4088
5,Powell St BART Station (Market St at 5th St),37.7838,-122.4083
6,The Embarcadero at Sansome St,37.8049,-122.4033
7,Frank H Ogawa Plaza,37.8046,-122.2717
8,The Embarcadero at Vallejo St,37.7999,-122.3985
9,Broadway at Battery St,37.7987,-122.4009
10,Washington St at Kearny St,37.7952,-122.4049
11,Davis St at Jackson St,37.7972,-122.3984
12,Pier 1/2 at The Embarcadero,37.7964,-122.3946
13,Commercial St at Montgomery St,37.7941,-122.4033
14,Clay St at Battery St,37.7953,-122.4001
15,San Francisco Ferry Building (Harry Bridges Plaza),37.7954,-122.3944
16,Market St at Steuart St,37.7945,-122.3949
17,Embarcadero BART Station (Beale St at Market St),37.7923,-122.3974
18,Telegraph Ave at Alcatraz Ave,37.8502,-122.2602
19,Post St at Kearny St,37.789,-122.4037
20,Mechanics Monument Plaza (Market St at Bush St),37.7912,-122.3991
21,Montgomery St BART Station (Market St at 2nd St),37.7902,-122.4017
22,Howard St at Beale St,37.7899,-122.3946
23,The Embarcadero at Steuart St,37.7917,-122.3911
24,Spear St at Folsom St,37.7897,-122.3908
25,Howard St at 2nd St,37.787,-122.398
26,1st St at Folsom St,37.7869,-122.3945
27,Beale St at Harrison St,37.7886,-122.3926
28,The Embarcadero at Bryant St,37.7873,-122.3881
29,O'Farrell St at Divisadero St,37.7824,-122.4396
30,San Francisco Caltrain (Townsend St at 4th St),37.7767,-122.3953
31,Raymond Kimbell Playground,37.7838,-122.4345
33,Golden Gate Ave at Hyde St,37.7817,-122.4153
34,Father Alfred E Boeddeker Park,37.7841,-122.4119
35,Cahill Park,37.3291,-121.9048
36,Folsom St at 3rd St,37.7839,-122.3987
37,Folsom St at 2nd St,37.7853,-122.3972
38,The Embarcadero at Pier 38,37.783,-122.388
39,Scott St at Golden Gate Ave,37.7789,-122.4369
41,Golden Gate Ave at Polk St,37.7812,-122.4184
42,San Francisco City Hall (Polk St at Grove St),37.7789,-122.4182
43,San Francisco Public Library (Grove St at Hyde St),37.7788,-122.4159
44,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7811,-122.4118
46,San Antonio Park,37.7901,-122.2424
47,Clara St at 4th St,37.781,-122.4006
49,S Park St at 3rd St,37.7808,-122.3948
50,2nd St at Townsend St,37.7804,-122.3901
51,Parker Ave at McAllister St,37.7761,-122.453
52,McAllister St at Baker St,37.7774,-122.4421
53,Grove St at Divisadero,37.776,-122.4377
54,Alamo Square (Steiner St at Fulton St),37.7776,-122.4331
55,Webster St at Grove St,37.7772,-122.4296
56,Koshland Park,37.7735,-122.4272
58,Market St at 10th St,37.777,-122.4172
59,S Van Ness Ave at Market St,37.7748,-122.4192
60,8th St at Ringold St,37.7744,-122.4095
61,Howard St at 8th St,37.7766,-122.4114
62,Victoria Manalo Draves Park,37.7777,-122.4063
63,Bryant St at 6th St,37.7759,-122.4027
66,3rd St at Townsend St,37.7787,-122.3926
70,Central Ave at Fell St,37.7734,-122.4442
71,Broderick St at Oak St,37.7731,-122.4391
72,Page St at Scott St,37.7722,-122.4368
73,Pierce St at Haight St,37.772,-122.4338
74,Laguna St at Hayes St,37.7762,-122.4262
75,Market St at Franklin St,37.774,-122.4209
76,McCoppin St at Valencia St,37.7716,-122.4222
77,11th St at Natoma St,37.7735,-122.416
78,Folsom St at 9th St,37.7735,-122.4119
79,7th St at Brannan St,37.7735,-122.4037
80,Townsend St at 5th St,37.7752,-122.3976
81,Berry St at 4th St,37.7759,-122.3932
84,Duboce Park,37.7692,-122.434
85,Church St at Duboce Ave,37.7698,-122.4291
86,Market St at Dolores St,37.7693,-122.4269
87,Folsom St at 13th St,37.7703,-122.4155
88,11th St at Bryant St,37.7701,-122.4119
89,Division St at Potrero Ave,37.7693,-122.407
90,Townsend St at 7th St,37.7712,-122.4027
91,Berry St at King St,37.7719,-122.3983
92,Mission Bay Kids Park,37.7725,-122.3929
93,4th St at Mission Bay Blvd S,37.7704,-122.3913
95,Sanchez St at 15th St,37.7662,-122.4311
96,Dolores St at 15th St,37.7661,-122.4267
97,14th St at Mission St,37.7684,-122.4203
98,Valencia St at 16th St,37.7651,-122.4218
99,Folsom St at 15th St,37.7671,-122.4155
100,Bryant St at 15th St,37.7671,-122.4107
101,15th St at Potrero Ave,37.7671,-122.4074
102,Irwin St at 8th St,37.7668,-122.3996
104,4th St at 16th St,37.7672,-122.391
105,16th St at Prosper St,37.7643,-122.4319
106,Sanchez St at 17th St,37.7633,-122.4307
107,17th St at Dolores St,37.763,-122.4267
108,16th St Mission BART,37.7647,-122.42
109,17th St at Valencia St,37.7633,-122.4219
110,17th & Folsom Street Park (17th St at Folsom St),37.7637,-122.4155
112,Harrison St at 17th St,37.7638,-122.413
113,Franklin Square,37.7646,-122.4104
114,Rhode Island St at 17th St,37.7644,-122.4026
115,Jackson Playground,37.765,-122.3989
116,Mississippi St at 17th St,37.7648,-122.3947
118,Eureka Valley Recreation Center,37.7592,-122.4369
119,18th St at Noe St,37.7611,-122.4324
120,Mission Dolores Park,37.7614,-122.4267
121,Mission Playground,37.7592,-122.4215
122,19th St at Mission St,37.7603,-122.419
123,Folsom St at 19th St,37.7606,-122.4148
124,19th St at Florida St,37.7604,-122.4108
125,20th St at Bryant St,37.7592,-122.41
126,Esprit Park,37.7617,-122.3909
127,Valencia St at 21st St,37.7567,-122.4212
129,Harrison St at 20th St,37.7589,-122.4126
130,22nd St Caltrain Station,37.7577,-122.3919
131,22nd St at Dolores St,37.7551,-122.4259
132,24th St at Chattanooga St,37.7518,-122.4266
133,Valencia St at 22nd St,37.7552,-122.4211
134,Valencia St at 24th St,37.7525,-122.4206
137,Jersey St at Castro St,37.7505,-122.4339
138,Jersey St at Church St,37.7509,-122.4276
139,Garfield Square (25th St at Harrison St),37.751,-122.412
140,Cesar Chavez St at Dolores St,37.7478,-122.425
141,Valencia St at Cesar Chavez St,37.7477,-122.4202
142,Guerrero Park,37.7459,-122.4221
144,Precita Park,37.7473,-122.4114
145,29th St at Church St,37.7437,-122.427
146,30th St at San Jose Ave,37.7424,-122.4229
147,29th St at Tiffany Ave,37.7441,-122.4215
148,Horton St at 40th St,37.8297,-122.2876
149,Emeryville Town Hall,37.8313,-122.2856
150,Adeline St at 40th St,37.8313,-122.2783
151,53rd St at Hollis St,37.8362,-122.2872
152,47th St at San Pablo Ave,37.8356,-122.2811
153,59th St at Horton St,37.8409,-122.2914
154,Doyle St at 59th St,37.8419,-122.288
155,Emeryville Public Market,37.8405,-122.2935
156,Stanford Ave at Hollis St,37.8384,-122.2887
157,65th St at Hollis St,37.8468,-122.2914
158,Shattuck Ave at Telegraph Ave,37.8333,-122.2635
159,24th St at Market St,37.8161,-122.2782
160,West Oakland BART Station,37.8053,-122.2948
162,Franklin St at 9th St,37.8005,-122.2721
163,Lake Merritt BART Station,37.7973,-122.2653
164,Isabella St at San Pablo Ave,37.815,-122.2748
166,College Ave at Alcatraz Ave,37.8514,-122.2525
167,College Ave at Harwood Ave,37.8482,-122.2522
168,Alcatraz Ave at Shattuck Ave,37.8496,-122.2656
169,Bushrod Park,37.8465,-122.2653
170,Telegraph Ave at 58th St,37.8445,-122.2614
171,Rockridge BART Station,37.8443,-122.2519
172,College Ave at Taft Ave,37.8418,-122.2515
173,Shattuck Ave at 55th St,37.8404,-122.2645
174,Shattuck Ave at 51st St,37.8368,-122.264
175,49th St at Telegraph Ave,37.8359,-122.2624
176,MacArthur BART Station,37.8284,-122.2663
177,MacArthur Blvd at Telegraph Ave,37.8263,-122.2651
178,Broadway at 30th St,37.8194,-122.2619
179,Telegraph Ave at 27th St,37.8161,-122.2679
180,Telegraph Ave at 23rd St,37.8127,-122.2688
181,Grand Ave at Webster St,37.8114,-122.2652
182,19th Street BART Station,37.8094,-122.268
183,Telegraph Ave at 19th St,37.8087,-122.2699
186,Lakeside Dr at 14th St,37.8013,-122.2626
187,Jack London Square,37.7962,-122.2794
188,Dover St at 57th St,37.8426,-122.2677
189,Genoa St at 55th St,37.8396,-122.2718
190,West St at 40th St,37.8302,-122.271
191,Market St at 40th St,37.8305,-122.2739
192,37th St at West St,37.8267,-122.2718
193,Grand Ave at Santa Clara Ave,37.8127,-122.2472
194,Lakeshore Ave at Trestle Glen Rd,37.8111,-122.2433
195,Bay Pl at Vernon St,37.8123,-122.2608
196,Grand Ave at Perkins St,37.8089,-122.2565
197,El Embarcadero at Grand Ave,37.8088,-122.2497
198,Snow Park,37.8078,-122.2645
200,2nd Ave at E 18th St,37.8002,-122.2538
201,10th St at Fallon St,37.7977,-122.263
202,Washington St at 8th St,37.8008,-122.2749
203,Webster St at 2nd St,37.7952,-122.274
204,55th St at Telegraph Ave,37.8402,-122.2618
205,Miles Ave at Cavour St,37.8388,-122.2587
206,College Ave at Bryant Ave,37.8381,-122.2513
207,Broadway at Coronado Ave,37.8358,-122.2516
208,4th St at San Carlos St,37.3328,-121.8839
209,45th St at MLK Jr Way,37.8336,-122.2674
210,45th St at Manila,37.8333,-122.2562
211,Broadway at 40th St,37.8278,-122.2567
212,Mosswood Park,37.8249,-122.2604
214,Market St at Brockhurst St,37.8233,-122.2757
215,34th St at Telegraph Ave,37.8225,-122.2663
216,San Pablo Ave at 27th St,37.8178,-122.2757
217,27th St at MLK Jr Way,37.817,-122.2718
218,DeFremery Park,37.8123,-122.2852
220,San Pablo Ave at MLK Jr Way,37.8114,-122.2734
221,6th Ave at E 12th St (Temporary Location),37.7944,-122.2538
222,10th Ave at E 15th St,37.7927,-122.2488
223,16th St Mission BART Station 2,37.765,-122.4201
224,21st St at 5th Ave,37.8005,-122.2475
225,23rd Ave at Foothill Blvd,37.7852,-122.2344
227,Foothill Blvd at Fruitvale Ave,37.7838,-122.2226
228,Foothill Blvd at Harrington Ave,37.7799,-122.2177
229,Bond St at High St,37.7742,-122.2124
230,14th St at Mandela Pkwy,37.8107,-122.2914
231,14th St at Filbert St,37.8087,-122.2833
232,MLK Jr Way at 14th St,37.8062,-122.276
233,4th Ave at E 12th St (Temporary Location),37.7959,-122.2555
234,Fruitvale Ave at International Blvd,37.7781,-122.2254
235,Union St at 10th St,37.8072,-122.2894
236,Market St at 8th St,37.8037,-122.2825
237,Fruitvale BART Station,37.7752,-122.2245
238,MLK Jr Way at University Ave,37.8717,-122.2731
239,Bancroft Way at Telegraph Ave,37.8688,-122.2588
240,Haste St at Telegraph Ave,37.866,-122.2588
241,Ashby BART Station,37.8525,-122.2702
243,Bancroft Way at College Ave,37.8694,-122.2543
244,Shattuck Ave at Hearst Ave,37.8737,-122.2685
245,Downtown Berkeley BART,37.8701,-122.2684
246,Berkeley Civic Center,37.8691,-122.2706
247,Fulton St at Bancroft Way,37.8678,-122.2659
248,Telegraph Ave at Ashby Ave,37.856,-122.2598
249,Russell St at College Ave,37.8585,-122.2533
250,North Berkeley BART Station,37.8736,-122.2831
251,California St at University Ave,37.8706,-122.2797
252,Channing Way at Shattuck Ave,37.8658,-122.2674
253,Haste St at College Ave,37.8664,-122.2538
254,Vine St at Shattuck Ave,37.8802,-122.2696
255,Virginia St at Shattuck Ave,37.8766,-122.2695
256,Hearst Ave at Euclid Ave,37.8751,-122.2606
257,Fifth St at Delaware St,37.8704,-122.2997
258,University Ave at Oxford St,37.8724,-122.2664
