day,hour,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32002,B32012,C32010,B32010,B32011,B32016,B32018,B32014,B32015,B32019,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32009,D32013,B32009,B32013,D32009,D32003,B32008,D32001,D32000,D32007,D32006,D32005,D32004,B32000,B32003,B32002,B32005,B32004,B32007,B32006,B32017,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,C32008,C32009,A32012,A32011,A32010,D32008,total
0,0,0,0,0,0,1,0,0,0,0,0,8,4,1,0,1,6,0,0,1,0,4,0,0,1,0,0,2,2,1,0,0,0,1,2,3,0,3,0,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,52
0,1,0,0,0,0,0,1,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,9,0,1,1,40
0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,16
0,6,0,0,0,0,2,2,1,0,1,0,0,0,4,0,0,0,0,0,1,2,3,1,2,2,0,1,3,0,1,5,9,1,0,3,2,7,1,0,2,0,0,0,1,4,0,0,2,6,0,2,0,0,0,0,0,0,0,0,6,3,80
0,7,0,0,0,0,5,5,0,0,2,0,0,6,9,0,1,1,0,0,0,1,3,2,2,1,0,3,1,1,0,3,50,0,0,6,7,7,4,1,4,0,0,5,3,3,1,1,1,9,0,1,8,3,2,0,0,0,1,0,12,9,184
0,8,0,0,0,0,11,6,1,2,6,0,4,5,11,2,2,3,0,0,2,1,1,2,2,1,0,23,2,2,1,5,42,4,0,13,6,11,11,4,8,3,2,5,8,8,4,1,1,19,0,2,16,10,2,0,0,0,11,0,31,8,325
0,9,0,0,0,0,5,8,2,2,2,0,6,3,2,1,0,1,0,0,7,1,3,1,0,0,2,6,2,1,3,6,19,10,0,7,3,4,5,2,6,0,2,3,3,3,1,4,2,10,0,3,14,2,3,0,0,0,4,0,19,4,197
0,10,0,0,0,0,3,3,1,1,2,0,3,4,1,8,3,4,0,0,0,6,0,0,1,2,5,7,5,1,1,2,5,2,0,5,9,2,11,3,7,2,1,3,8,1,0,0,0,5,0,0,6,4,3,1,0,0,4,0,5,2,152
0,11,0,0,0,0,0,7,11,0,1,0,0,3,5,1,1,7,0,0,2,3,5,4,2,7,3,4,4,2,1,1,6,12,0,4,18,5,14,4,4,5,7,3,8,11,2,1,1,2,0,1,3,6,0,0,0,0,5,0,7,9,212
0,12,0,0,0,0,7,5,8,0,0,0,1,6,3,2,7,7,0,0,3,10,11,6,0,2,1,0,3,0,3,4,6,8,2,6,5,15,18,10,5,1,1,8,7,7,1,0,0,4,0,0,8,7,0,1,0,0,5,0,13,12,239
0,13,0,0,0,0,10,11,8,1,0,0,6,5,6,6,4,4,0,0,2,4,5,6,1,4,8,8,6,3,5,3,2,9,1,2,20,7,22,4,3,3,2,7,9,7,0,0,2,5,0,1,7,3,0,0,0,0,3,0,10,6,251
0,14,0,0,0,0,3,6,5,0,4,0,2,6,9,1,3,4,0,0,3,5,10,3,3,0,0,5,5,0,2,9,5,4,0,2,13,8,13,8,11,5,2,7,5,6,3,2,0,6,0,1,5,13,0,2,0,0,6,0,8,3,226
0,15,0,0,0,0,3,11,6,1,5,0,10,7,8,2,1,10,0,0,3,4,7,1,4,3,0,5,3,3,4,6,4,12,0,6,10,9,14,6,12,7,4,3,5,3,2,1,1,3,0,1,9,10,2,0,0,0,2,0,10,4,247
0,16,0,0,0,0,8,15,17,1,5,0,6,5,8,6,2,6,0,0,7,2,6,9,2,8,0,3,17,3,2,8,5,13,2,14,22,25,26,10,8,16,0,10,4,15,3,1,8,3,0,0,5,14,5,1,0,0,14,0,31,4,405
0,17,0,0,0,0,6,10,17,0,7,0,11,13,9,3,12,5,0,0,3,12,8,10,7,1,2,1,6,5,4,12,14,16,1,15,36,15,26,11,17,15,2,5,11,21,9,7,4,16,0,3,10,23,1,2,0,0,7,0,45,11,507
0,18,0,0,0,0,10,11,6,1,2,0,4,5,11,5,7,12,0,0,7,9,11,1,2,4,6,4,5,3,4,14,7,23,2,14,22,17,31,14,19,4,2,10,13,17,5,4,7,12,0,4,12,11,6,1,0,0,9,0,28,18,456
0,19,0,0,0,0,4,10,4,0,5,0,5,15,14,5,5,8,0,0,5,6,11,10,6,3,3,6,9,5,2,6,1,14,2,10,13,7,13,1,14,7,1,10,8,7,3,0,3,7,0,0,8,9,4,0,0,0,4,0,21,12,326
0,20,0,0,0,0,6,7,1,0,0,0,12,9,3,4,5,9,0,0,7,10,6,3,3,2,0,8,9,2,3,4,1,13,0,1,13,2,15,2,23,4,3,8,14,5,1,4,5,7,0,1,8,20,2,1,0,0,5,0,6,7,284
0,21,0,0,0,0,3,7,1,0,0,0,12,11,3,7,0,8,0,0,1,2,5,1,4,1,0,3,0,4,4,7,1,3,0,3,12,2,23,3,7,2,0,5,4,3,1,5,0,7,0,0,2,2,2,0,0,0,2,0,9,1,183
