day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,D32002,D32021,D32020,D32023,D32022,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,A32017,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,C32011,C32010,C32013,C32015,D32005,D32003,M32023,M32020,D32000,D32007,D32006,M32024,D32004,D32009,D32008,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,K32002,K32003,K32001,B32009,B32008,M32009,M32005,B32003,M32007,B32005,B32004,M32002,B32006,B32013,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,B32002,M32001,B32007,M32003,C32014,total
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,5,0,1,0,3,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,2,3,0,0,2,0,2,1,0,0,0,6,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,64
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,36
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9
0,5,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31
0,6,0,0,0,1,0,1,0,2,5,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,8,0,5,0,5,0,0,1,1,0,0,13,0,2,2,2,14,4,1,0,0,1,0,0,1,0,0,2,22,0,0,1,1,7,0,0,0,3,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,142
0,7,0,0,3,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,9,0,0,0,0,1,22,8,8,11,5,14,0,0,1,5,2,0,31,0,2,2,10,12,8,1,0,1,0,0,0,4,0,0,7,71,0,0,5,7,14,0,4,4,12,1,1,0,4,0,3,9,4,0,1,1,0,0,0,0,6,0,0,1,0,3,8,0,0,1,0,0,0,0,0,0,0,0,0,9,0,10,0,6,0,0,372
0,8,0,1,8,6,1,1,1,1,2,0,24,0,0,0,0,0,0,0,0,7,0,0,0,0,4,26,9,10,36,8,11,4,3,0,6,8,0,33,0,5,1,14,9,27,10,4,10,1,0,0,8,0,0,16,89,0,0,11,14,31,0,3,5,17,10,0,0,4,0,12,9,10,0,1,10,0,0,0,4,12,0,0,2,0,9,33,0,3,1,0,0,0,0,0,0,0,0,0,5,0,12,0,10,0,0,632
0,9,0,3,3,7,1,0,1,4,4,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,3,6,8,4,12,9,8,0,0,1,8,9,0,23,0,4,1,12,8,2,4,5,1,1,0,0,4,0,0,5,27,0,0,2,8,16,0,8,1,8,5,0,0,0,0,9,7,5,0,1,9,0,0,0,0,5,0,0,0,0,6,8,0,3,5,0,0,0,0,0,0,0,0,0,7,0,5,0,2,0,0,321
