day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32012,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,D32000,D32007,M32027,C32011,C32010,C32013,C32012,C32015,C32014,C32017,C32016,C32019,C32018,D32004,E32004,E32005,E32006,E32001,E32002,E32003,D32003,M32023,M32020,M32021,M32026,D32006,D32005,M32025,D32009,M32029,M32024,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,B32020,K32002,K32003,K32001,K32004,B32009,B32008,M32009,M32005,B32003,B32002,B32005,M32001,M32002,B32006,B32013,D32008,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,A32017,B32000,M32006,M32007,B32004,B32007,M32003,total
0,0,0,0,1,1,5,2,1,2,0,1,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,1,0,1,1,2,1,0,0,0,2,1,0,1,3,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,5,2,1,0,3,0,0,2,0,7,0,5,0,3,10,1,11,0,0,7,5,0,0,0,0,0,0,5,1,0,1,1,0,0,0,2,0,0,5,2,1,2,1,3,1,1,0,3,5,0,2,0,3,150
0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,4,0,0,5,0,1,1,0,0,0,2,1,0,1,2,3,0,0,0,3,0,0,0,0,0,1,0,5,1,0,2,0,4,0,0,0,0,1,0,1,1,0,0,0,3,0,2,7,1,0,0,1,88
0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,0,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,43
0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,23
0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
0,5,0,0,0,0,1,0,0,0,3,2,2,0,0,0,0,0,1,2,0,2,0,5,3,0,0,0,0,0,0,0,1,1,0,2,0,5,1,0,0,0,2,0,2,0,1,0,0,0,6,1,1,3,0,1,0,1,6,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,4,0,0,1,0,1,0,1,3,2,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,3,0,0,1,1,0,0,0,0,1,0,1,1,0,2,2,3,4,0,0,0,0,103
0,6,2,1,0,3,0,0,0,2,0,0,9,0,0,1,3,1,5,1,0,1,6,8,7,3,32,1,0,0,0,1,19,6,0,9,1,17,0,1,3,0,0,0,10,0,0,0,3,0,5,14,8,0,1,0,1,0,6,3,0,0,2,0,2,0,0,1,1,0,0,0,2,2,0,0,0,2,3,0,0,0,1,12,0,4,3,3,2,1,0,1,0,0,3,0,5,1,0,0,0,1,2,3,0,0,8,1,0,0,2,6,3,0,0,0,2,0,0,3,1,4,9,0,0,5,4,4,1,2,3,0,0,309
0,7,4,0,5,3,0,2,0,7,3,1,22,3,11,4,3,0,4,4,0,0,19,6,12,4,104,3,11,0,1,5,35,20,5,16,9,14,3,2,6,6,8,0,44,7,2,0,6,1,16,10,19,11,6,8,3,4,22,4,7,0,6,0,3,2,0,2,7,3,0,3,0,0,0,2,1,1,7,1,1,0,11,31,6,3,3,10,4,7,4,3,1,1,6,7,8,0,0,9,0,3,2,6,9,0,9,5,4,0,6,23,4,12,2,0,17,1,5,9,12,11,10,0,1,9,13,14,6,6,12,1,3,903
0,8,14,4,8,12,3,3,2,10,3,10,20,6,20,15,8,0,11,5,4,6,33,20,25,12,102,0,18,0,6,16,61,22,1,31,24,7,4,1,15,13,17,0,57,13,4,3,4,8,48,21,23,13,7,8,0,9,24,6,6,0,9,0,8,2,0,6,12,0,2,7,1,7,1,3,2,4,84,3,6,6,24,28,17,6,14,14,9,10,5,15,6,8,15,20,40,1,11,11,0,15,8,16,14,0,6,19,3,0,10,17,17,12,10,4,26,4,8,15,38,23,26,12,6,34,18,12,7,16,38,3,2,1702
0,9,12,4,7,8,0,1,5,12,4,8,6,14,13,6,6,2,13,11,6,8,16,14,8,8,33,1,4,0,2,10,25,7,6,5,6,12,1,1,11,5,9,3,30,6,3,1,12,9,11,7,10,10,12,5,1,7,17,5,5,0,4,1,2,2,1,4,3,1,0,7,1,1,2,1,3,1,14,2,3,3,18,16,19,10,7,13,6,8,5,19,2,8,22,13,24,3,10,12,0,5,6,9,8,0,5,16,3,4,11,14,9,8,5,2,14,8,7,17,14,17,17,6,9,23,5,7,16,10,11,5,6,1052
0,10,9,0,2,2,5,6,2,11,5,4,6,7,8,1,5,3,8,2,3,3,3,6,4,1,12,1,3,0,3,5,6,10,3,4,6,5,4,0,12,5,8,1,6,2,1,1,4,2,10,15,8,10,5,4,4,2,12,7,3,1,7,0,1,1,0,1,5,0,1,7,0,1,1,1,2,0,4,2,6,9,5,5,17,4,0,9,11,6,2,14,5,5,14,7,15,2,4,6,0,4,3,7,2,0,3,18,4,5,2,12,6,11,1,6,5,5,14,12,10,11,7,6,9,13,2,7,30,12,5,3,3,709
0,11,14,3,6,4,7,2,2,9,3,1,10,0,10,3,8,1,2,4,3,1,10,8,3,5,8,1,2,0,0,8,3,6,4,12,14,3,3,0,9,4,7,4,15,7,3,0,14,4,13,12,7,4,9,7,1,9,14,13,1,1,4,0,2,0,0,2,4,0,1,11,0,3,1,3,2,0,7,5,7,6,8,5,16,2,7,5,8,10,2,10,4,3,14,4,17,1,3,2,2,7,3,1,5,0,9,13,4,0,4,15,5,11,1,5,9,3,14,8,14,11,6,9,7,16,9,16,35,6,5,3,5,781
0,12,5,2,2,5,7,4,0,13,5,5,6,6,10,3,6,0,4,4,3,2,10,15,6,8,7,0,10,0,0,2,13,8,1,6,8,6,2,0,19,2,4,1,10,2,1,0,9,11,13,13,11,9,12,18,1,8,13,7,2,0,17,2,0,2,0,0,2,1,1,11,0,1,2,1,1,4,5,8,8,8,8,9,29,0,4,7,14,19,2,20,4,4,25,5,16,0,7,9,4,5,0,4,1,0,5,18,28,5,2,14,7,22,4,7,14,12,19,3,3,19,11,8,8,10,1,5,37,5,13,3,7,920
0,13,6,1,5,3,7,5,1,10,2,2,7,7,7,3,6,0,1,6,1,2,5,12,12,4,6,5,10,0,2,8,9,10,1,9,10,9,2,0,9,1,2,7,14,2,1,0,6,12,16,12,10,10,10,14,4,11,13,12,5,1,12,1,2,0,0,2,3,0,0,10,0,1,5,1,2,3,6,5,7,13,9,7,26,3,9,7,5,8,3,22,7,11,16,13,18,2,4,13,2,2,2,7,0,0,14,20,25,5,2,15,4,14,7,3,6,11,28,7,12,13,7,16,9,5,2,7,30,6,7,4,13,929
0,14,5,3,2,10,17,6,0,4,6,5,9,7,4,4,5,2,3,1,1,3,7,10,8,4,8,1,12,0,4,10,12,6,6,4,7,4,0,0,15,3,5,5,8,1,0,2,8,3,7,19,13,6,12,10,3,7,6,12,5,1,3,0,2,2,0,0,5,0,0,6,2,0,1,1,0,3,4,9,3,8,2,9,21,5,11,6,3,8,3,20,10,7,14,10,18,1,7,8,1,5,1,8,3,0,12,15,22,5,5,16,2,7,9,7,8,12,36,8,13,12,9,5,8,2,3,8,55,3,8,5,12,888
0,15,10,2,6,11,8,6,5,10,3,8,8,4,6,1,7,0,1,7,0,2,8,14,8,6,8,7,10,0,0,20,11,12,1,7,9,7,3,0,25,0,5,5,20,0,0,2,13,4,25,14,6,3,17,20,3,9,4,16,6,1,13,3,1,0,3,1,0,0,0,9,0,0,1,0,0,4,6,3,14,18,5,11,14,9,6,4,7,10,4,23,10,1,18,17,30,0,8,2,5,3,1,6,6,0,13,13,30,17,9,12,6,14,6,1,9,6,22,12,15,18,6,17,4,12,3,17,44,5,12,13,12,1058
0,16,2,13,2,11,15,21,2,11,6,5,9,6,5,2,5,0,0,1,2,5,9,17,7,9,12,4,5,0,1,15,14,5,3,6,20,6,3,5,15,2,4,4,40,1,0,0,21,10,27,12,11,5,37,28,5,21,10,23,15,1,44,1,0,0,4,2,2,0,1,29,0,4,2,2,3,1,10,17,4,19,1,12,27,2,10,6,4,14,10,49,7,3,18,10,12,0,10,16,1,2,4,2,4,0,22,29,54,20,14,12,16,21,10,15,20,21,29,12,9,19,3,8,33,2,7,5,54,6,11,6,28,1411
0,17,10,23,3,26,10,32,2,26,13,8,10,9,14,1,13,1,4,8,1,6,12,18,2,13,22,17,5,0,0,22,29,12,8,5,41,10,5,3,45,3,4,11,96,0,0,2,19,30,45,15,14,16,51,32,18,18,26,45,13,4,65,2,0,0,4,2,2,0,1,57,0,1,4,0,2,1,21,21,14,14,9,17,61,4,17,9,3,21,12,74,12,5,38,11,33,2,24,19,3,3,6,7,2,0,27,31,88,36,17,20,22,44,22,5,54,40,39,16,22,40,4,28,19,15,1,14,87,14,22,29,40,2350
0,18,15,9,2,20,12,8,0,8,4,6,13,5,6,2,19,1,6,2,0,0,18,7,0,8,6,14,6,0,0,12,30,11,5,11,23,10,1,2,25,3,8,11,65,0,3,1,12,5,26,13,10,9,35,26,3,20,20,27,16,2,29,0,1,1,0,0,3,0,0,12,0,2,0,0,1,0,7,10,15,12,6,10,50,0,6,16,9,10,8,68,7,4,17,10,23,1,12,13,7,2,2,3,1,0,9,27,31,22,6,12,13,31,3,6,14,16,29,10,18,27,20,10,20,8,1,15,51,5,9,9,10,1452
0,19,9,4,1,8,14,11,1,9,2,6,0,5,13,2,17,3,2,5,0,2,12,2,3,4,7,2,5,0,0,10,18,6,1,5,14,13,0,0,10,4,6,3,26,1,0,1,12,2,13,11,10,7,10,13,4,13,2,15,7,1,12,0,1,0,0,5,1,0,0,8,0,2,3,0,1,1,2,8,12,11,9,12,25,2,5,13,6,12,7,35,10,3,13,5,25,2,7,9,5,3,1,4,2,0,8,38,33,10,5,14,11,11,7,10,11,10,17,15,7,30,8,12,6,9,3,9,42,8,6,2,4,1015
0,20,4,2,3,4,13,2,1,9,0,2,1,4,1,1,8,0,0,2,0,4,2,4,1,4,2,3,6,0,0,7,16,2,2,3,3,10,0,0,7,0,3,5,8,0,1,1,8,0,8,6,2,3,2,9,0,10,5,7,5,1,14,0,0,1,3,1,0,0,0,4,0,2,1,0,2,3,0,7,7,6,4,2,15,0,4,3,5,12,3,14,6,3,12,6,17,1,3,3,0,0,2,4,2,0,7,9,8,3,1,5,2,5,2,7,5,2,23,1,6,20,3,10,6,4,0,9,21,1,4,1,10,564
0,21,1,0,2,7,6,4,0,3,1,0,5,1,2,1,9,0,3,0,0,0,4,2,0,1,8,1,2,0,1,4,13,0,1,0,9,3,0,0,9,2,5,2,10,3,0,0,6,0,5,5,3,3,0,2,0,4,5,7,3,1,3,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,5,12,4,0,2,8,0,4,9,4,6,4,8,5,1,12,5,6,0,0,4,1,1,1,4,0,0,2,12,8,0,4,8,3,9,2,3,3,3,19,4,12,17,7,10,6,4,2,4,22,6,4,2,3,461
0,22,2,1,2,4,7,1,0,5,1,1,0,3,1,1,11,1,3,1,0,0,1,2,3,0,3,0,0,0,0,2,4,1,0,0,1,2,0,0,4,0,5,3,6,0,1,0,4,0,4,2,1,7,0,0,2,1,2,3,2,1,1,1,0,2,0,0,0,0,1,3,0,0,0,0,0,1,2,10,1,3,2,1,4,0,3,12,3,10,0,5,4,9,4,5,4,0,1,2,0,2,1,4,1,0,2,8,12,0,1,1,1,5,2,1,0,1,12,6,0,11,0,8,2,3,1,11,22,5,1,1,1,332
