day,hour,C32004,M32032,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32008,A32009,S32002,S32003,B32020,S32006,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,A32019,C32005,A32017,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32013,S32012,D32014,D32015,D32017,D32010,D32011,D32012,D32013,D32018,D32019,M32021,M32020,D32007,D32006,C32010,C32013,C32012,C32015,D32005,C32017,C32016,C32019,C32018,M32025,E32004,E32005,E32006,E32001,E32002,E32003,M32038,D32003,M32023,D32001,D32000,M32026,M32027,M32024,D32004,D32009,D32008,C32020,C32021,C32022,C32023,M32031,M32030,B32018,B32019,M32034,M32037,B32012,B32013,B32010,B32011,B32016,B32017,B32014,B32015,S32001,K32002,K32003,K32001,K32004,B32008,M32009,B32000,M32006,M32007,B32005,M32001,M32002,M32003,M32029,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,M32005,B32003,B32002,B32004,B32007,B32006,C32014,total
0,0,4,1,0,0,3,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,4,0,0,0,4,3,2,3,0,0,0,1,2,0,4,0,2,0,0,0,0,3,0,0,1,4,2,2,0,1,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0,2,0,2,1,0,0,0,0,0,0,1,4,0,5,3,3,7,1,0,0,0,2,0,0,3,1,0,4,3,0,4,1,3,0,1,2,2,0,4,4,0,4,3,4,0,0,3,1,2,0,1,1,0,147
0,1,0,0,1,0,0,1,5,0,0,1,0,1,4,1,4,2,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,3,0,2,0,0,0,0,0,2,0,5,0,1,0,1,7,0,4,0,3,2,0,0,1,2,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0,1,0,2,3,1,1,0,0,0,1,0,0,0,0,0,7,0,3,1,4,0,1,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,104
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,9,0,1,1,3,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,2,0,3,0,0,0,0,0,1,0,1,0,1,2,1,4,1,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,2,2,0,0,2,0,0,1,0,0,0,1,0,0,0,3,0,0,0,68
0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,20
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,5,3,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,1,3,0,0,0,5,3,2,0,0,0,0,0,0,0,0,1,5,0,0,0,1,1,0,3,0,4,0,0,0,0,0,3,1,2,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,1,0,0,0,0,1,1,0,4,0,0,5,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,2,0,0,0,86
0,6,5,0,2,0,1,0,0,0,1,3,4,13,0,2,4,0,5,2,3,3,12,5,6,6,46,0,3,0,0,3,8,11,3,10,3,0,2,5,7,1,2,0,24,2,0,0,0,7,0,8,4,0,1,0,0,0,0,0,1,17,2,0,5,0,2,0,0,1,0,1,0,0,0,1,0,0,0,10,1,0,9,4,1,1,4,0,3,0,0,0,1,0,0,2,0,0,0,0,2,0,7,8,0,3,0,0,4,2,2,4,6,3,6,1,1,7,2,4,0,5,1,0,1,1,6,4,0,0,2,0,0,3,11,0,1,0,390
0,7,15,0,8,0,6,3,3,1,6,8,2,10,10,9,4,3,9,8,2,2,24,13,22,3,77,2,8,2,0,3,33,18,6,17,12,3,3,18,6,8,7,0,41,10,3,0,4,10,1,9,34,1,1,11,0,3,2,3,6,25,5,4,12,0,3,3,8,6,0,7,3,0,3,0,2,0,1,47,1,2,29,11,1,4,3,0,18,0,2,1,1,0,12,14,3,0,7,3,1,12,6,20,3,4,3,6,5,6,5,2,8,13,13,2,7,17,6,8,3,20,0,0,5,13,5,19,0,2,10,3,0,7,17,0,1,2,1028
0,8,10,1,8,1,10,10,3,1,6,12,8,20,13,17,3,13,14,15,9,4,27,13,21,13,77,3,15,6,8,10,45,25,7,31,22,5,7,18,14,17,12,2,80,14,7,3,1,12,7,18,22,5,6,12,0,18,2,4,21,21,12,2,8,1,26,12,10,0,3,19,2,13,7,9,1,6,4,41,2,0,37,17,12,5,9,24,40,1,3,2,1,6,16,9,4,0,16,5,2,14,6,25,2,9,11,5,15,9,34,13,17,27,13,10,27,21,26,13,9,20,9,6,6,22,16,25,4,5,21,8,3,9,31,0,5,0,1712
0,9,13,2,6,2,9,2,1,4,1,3,8,8,14,9,2,5,11,1,7,6,10,9,5,3,25,3,0,6,0,8,7,9,6,12,11,4,4,7,7,5,12,2,39,5,4,1,1,5,3,11,8,3,8,3,1,8,4,2,5,15,1,2,1,1,12,2,7,1,1,4,1,3,3,0,0,9,5,17,2,1,25,14,5,8,5,11,16,0,0,0,1,0,4,18,3,0,10,1,6,16,10,16,1,7,3,1,4,5,9,13,9,19,18,10,12,9,13,13,5,7,4,6,12,19,8,13,5,3,10,2,2,6,9,0,0,0,894
