day,hour,B32018,D32021,B32019,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32008,A32009,D32003,S32002,S32003,S32001,S32006,S32004,S32005,S32008,S32009,D32002,M32020,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,A32017,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32013,S32012,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,M32021,D32007,D32006,C32010,C32013,C32012,C32015,D32005,C32017,C32016,C32019,C32018,D32004,E32004,E32005,E32006,E32001,E32002,E32003,M32022,M32023,D32001,D32000,M32026,M32027,M32024,M32025,D32009,M32029,X32000,C32024,C32020,C32021,C32022,C32023,M32031,M32030,M32033,M32032,M32034,M32037,M32036,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,B32020,K32002,K32003,K32001,K32004,B32008,M32009,M32005,B32003,B32002,B32005,B32004,B32007,M32003,B32013,A32019,D32008,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,M32007,M32001,M32002,B32006,C32014,total
0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,3,0,0,1,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,1,0,0,0,0,3,0,0,2,1,0,0,2,0,5,1,0,1,0,0,70
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,1,0,3,0,0,2,0,0,43
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,10
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12
0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,15
0,5,4,3,0,0,1,0,0,0,0,0,1,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,3,0,2,0,0,0,1,0,1,0,0,0,0,0,4,2,4,2,0,0,0,0,1,0,2,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,2,1,0,0,0,0,77
0,6,1,1,0,0,0,1,0,0,1,0,1,7,4,2,4,1,0,3,1,0,2,7,0,5,3,28,0,2,1,0,0,11,8,0,8,3,2,4,1,4,0,1,0,17,0,0,1,0,0,2,3,5,8,5,3,1,1,3,0,4,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,3,0,0,3,3,1,2,3,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,4,0,0,0,0,0,2,1,6,0,1,1,1,0,0,2,8,0,0,0,0,3,0,0,3,1,2,3,0,1,6,3,2,8,1,1,0,0,262
0,7,5,10,0,1,2,2,3,1,4,5,1,12,32,4,15,0,1,6,8,0,0,9,1,12,3,52,2,6,4,1,2,22,7,3,13,3,9,5,12,5,7,4,1,31,6,4,5,3,3,1,11,9,9,5,2,5,0,4,2,0,16,0,1,7,0,15,3,15,0,2,5,2,6,2,2,1,2,6,0,1,10,9,0,3,8,1,24,0,2,0,1,1,0,1,3,1,4,6,13,4,1,1,4,2,15,1,1,1,1,4,10,7,10,8,2,3,0,1,7,14,0,2,2,1,9,2,1,6,11,8,12,1,3,10,7,6,4,5,8,0,0,763
0,8,5,14,2,0,8,9,0,0,11,4,13,11,27,14,22,2,4,7,1,9,2,24,1,11,2,69,6,10,1,11,12,21,14,1,23,11,5,2,7,14,2,14,0,41,9,7,3,3,4,4,20,7,19,4,11,5,0,6,3,6,20,2,1,8,1,4,14,8,0,1,9,2,7,2,2,4,3,10,2,0,7,18,10,8,21,12,17,0,2,0,0,1,0,5,6,1,4,3,5,1,6,2,10,4,17,1,2,4,5,8,6,11,12,9,23,3,1,7,16,11,0,1,0,3,28,2,7,19,28,8,33,2,1,14,9,6,16,9,15,3,0,1161
0,9,11,17,2,0,1,5,3,1,1,5,5,2,19,11,3,4,5,10,7,1,6,5,4,1,0,9,1,2,0,4,7,11,2,1,6,7,5,1,2,4,6,4,0,25,3,1,4,0,5,7,4,5,5,2,5,2,1,4,5,3,7,5,0,1,0,5,6,0,0,0,7,4,2,1,1,2,3,7,3,0,13,10,3,11,4,4,4,0,2,0,1,1,0,2,14,2,2,1,4,1,2,5,15,7,14,0,3,7,1,5,3,0,2,10,21,2,3,14,7,8,1,2,4,3,13,3,6,7,17,9,14,6,1,5,2,8,3,7,13,2,0,670
0,10,5,7,0,1,3,2,1,0,2,1,1,5,6,3,3,1,6,4,3,1,2,3,4,0,0,3,0,7,1,0,3,1,2,2,4,3,5,0,1,3,3,7,0,8,9,2,0,0,2,2,7,2,7,5,1,1,2,4,2,2,6,1,0,0,0,1,0,0,3,0,2,2,2,0,1,4,4,4,2,0,4,3,7,3,7,2,2,0,0,0,1,0,0,1,4,4,2,2,8,1,1,3,5,10,8,0,0,2,2,0,0,1,2,1,3,2,0,1,3,0,1,3,3,3,0,1,4,7,8,9,10,0,2,6,1,5,6,2,6,2,0,371
0,11,4,2,2,0,0,9,0,1,4,0,4,2,2,0,4,0,5,3,0,1,0,4,3,0,0,3,1,0,3,1,2,7,1,2,3,4,2,0,0,7,3,3,1,8,0,1,0,2,7,2,5,4,3,3,3,7,1,7,5,3,3,8,0,0,0,5,1,0,1,2,3,1,1,0,0,1,0,6,3,0,9,5,4,7,6,2,1,0,0,0,1,0,0,0,2,0,6,0,5,0,2,3,8,1,5,2,2,7,2,0,1,0,1,0,11,6,5,1,3,3,0,2,3,1,2,1,8,1,6,10,3,3,4,9,1,14,4,3,1,1,0,377
0,12,5,3,5,3,1,8,8,3,0,5,3,4,4,5,3,0,4,1,0,0,0,3,1,0,1,0,4,1,4,1,3,8,5,2,3,1,7,0,1,5,1,1,4,13,0,2,0,0,10,3,0,4,3,3,6,3,1,2,3,6,6,6,2,0,1,6,1,0,0,0,3,0,1,2,0,0,0,2,6,0,7,6,3,2,3,4,3,0,5,6,1,0,4,0,1,1,5,1,9,0,3,4,11,2,7,1,3,6,1,1,1,0,0,5,13,12,7,1,5,0,1,5,3,2,5,10,9,5,6,8,4,8,2,4,3,17,3,2,11,2,0,470
0,13,4,1,2,0,1,5,7,6,0,6,6,2,1,0,2,2,3,4,0,0,3,2,6,0,1,7,3,3,3,0,3,11,4,2,3,3,2,4,1,7,0,2,3,7,0,0,0,1,4,5,7,1,3,0,8,6,1,4,4,11,3,7,0,0,1,6,2,0,1,0,3,0,0,0,0,1,0,1,7,0,5,7,2,6,2,2,3,0,3,1,0,1,0,1,2,2,5,2,12,1,3,2,6,2,2,0,3,3,3,0,3,1,3,9,19,13,9,3,5,2,2,5,2,1,5,6,20,0,5,7,4,3,6,9,5,21,7,1,8,2,0,486
0,14,5,2,2,0,0,1,8,6,3,2,0,4,4,4,2,1,6,0,0,1,4,3,1,1,5,1,1,2,7,0,4,1,5,2,3,1,4,0,1,11,0,0,2,5,2,0,0,1,5,3,4,4,4,2,3,5,2,1,3,9,5,3,0,0,0,1,1,1,0,0,3,1,2,1,0,2,0,4,5,0,5,1,4,3,1,5,2,0,1,0,0,1,4,0,1,3,3,1,14,2,3,2,2,5,9,1,2,5,2,2,1,2,0,9,8,12,14,0,6,0,0,8,4,1,5,9,7,10,6,6,1,5,9,6,2,16,2,2,7,6,0,440
